view,kind,metric,layer,head,value,count
post_rope,k,head_offdiag_mean,0,-1,0.13675448569384488,264
post_rope,k,head_offdiag_mean,1,-1,-0.05053335665301843,264
post_rope,k,head_offdiag_mean,2,-1,0.056391211750451475,264
post_rope,k,head_offdiag_mean,3,-1,0.010231987734600394,264
post_rope,k,head_offdiag_mean,4,-1,0.013834371993487532,264
post_rope,k,head_offdiag_mean,5,-1,-0.011894113521768966,264
post_rope,k,head_offdiag_mean,6,-1,-0.03010247641412372,264
post_rope,k,head_offdiag_mean,7,-1,-0.0031446190683213486,264
post_rope,k,head_offdiag_mean,8,-1,-0.02967945767291398,264
post_rope,k,head_offdiag_mean,9,-1,-0.009009632911660116,264
post_rope,k,head_offdiag_mean,10,-1,0.05609035568142479,264
post_rope,k,head_offdiag_mean,11,-1,0.024785226613113828,264
post_rope,k,head_offdiag_mean,12,-1,0.00530291466169398,264
post_rope,k,head_offdiag_mean,13,-1,-0.024512000926981935,264
post_rope,k,head_offdiag_mean,14,-1,0.04251846724020487,264
post_rope,k,head_offdiag_mean,15,-1,0.005145275044593622,264
post_rope,k,head_offdiag_mean,16,-1,-0.022851061951686544,264
post_rope,k,head_offdiag_mean,17,-1,0.011837800836391662,264
post_rope,k,head_offdiag_mean,18,-1,0.011204615129496564,264
post_rope,k,head_offdiag_mean,19,-1,-0.044312199503606695,264
post_rope,k,head_offdiag_mean,20,-1,0.05555807642469352,264
post_rope,k,head_offdiag_mean,21,-1,0.010964774385766677,264
post_rope,k,head_offdiag_mean,22,-1,-0.012153308884576703,264
post_rope,k,head_offdiag_mean,23,-1,-0.06291504094207828,264
post_rope,k,head_offdiag_mean,24,-1,0.047592149560593745,264
post_rope,k,head_offdiag_mean,25,-1,-0.013609170109372248,264
post_rope,k,head_offdiag_mean,26,-1,0.04033170854249461,264
post_rope,k,head_offdiag_mean,27,-1,0.008602757472544909,264
post_rope,q,head_offdiag_mean,0,-1,0.10149292105978186,16632
post_rope,q,head_offdiag_mean,1,-1,0.10232852839610794,16632
post_rope,q,head_offdiag_mean,2,-1,0.13090283491394736,16632
post_rope,q,head_offdiag_mean,3,-1,0.12222891199317845,16632
post_rope,q,head_offdiag_mean,4,-1,0.17441242865540765,16632
post_rope,q,head_offdiag_mean,5,-1,0.14957369457591663,16632
post_rope,q,head_offdiag_mean,6,-1,0.15695767511021008,16632
post_rope,q,head_offdiag_mean,7,-1,0.1500739651647481,16632
post_rope,q,head_offdiag_mean,8,-1,0.19212125715884296,16632
post_rope,q,head_offdiag_mean,9,-1,0.14144609597596255,16632
post_rope,q,head_offdiag_mean,10,-1,0.1971376504410397,16632
post_rope,q,head_offdiag_mean,11,-1,0.24693531746214087,16632
post_rope,q,head_offdiag_mean,12,-1,0.17321301725777713,16632
post_rope,q,head_offdiag_mean,13,-1,0.17468540505929428,16632
post_rope,q,head_offdiag_mean,14,-1,0.1557164192199707,16632
post_rope,q,head_offdiag_mean,15,-1,0.17815566537055103,16632
post_rope,q,head_offdiag_mean,16,-1,0.22162147611379623,16632
